recipe_id,recipe_name,ingredients_raw
640,황태미역 곤약스프,"황태채(100g), 곤약(100g), 건미역(20g), 들깨가루(20g),
두부(50g), 된장(10g), 액젓(10g), 표고버섯(1개), 마늘(10g),
참기름(5g)"
641,훈제오리가슴살 샐러드,"오리고기(훈제오리 가슴살, 150g), 발사믹소스(50g),
양파(30g), 파슬리(5g), 블루베리(20g), 레디쉬(1개)"
642,훈제오리가슴살크러스트,"오리고기(훈제오리 가슴살, 150g), 로즈마리(2g), 오렌지(1개),
새송이버섯(1개), 파슬리(5g), 땅콩(50g), 올리브오일(20g),
유자청(20g), 후춧가루(0.5g"
643,간장소스를 곁들인 새우전복찜,"전복(2개), 새우(3마리), 시금치(30g), 해초(20g),
저염간장(20g), 레몬(1/4개), 설탕(20g), 소금(0.1g),
마늘(10g), 녹말(10g), 식용꽃(60g)"
644,검은콩국수,"검은콩(200g), 메밀면(120g), 오이(30g), 방울토마토(1개),
땅콩(20g), 잣(10g), 참깨(5g)"
645,겨자소스로 구운 산마샐러드,"산마(100g), 참나물(20g), 돈나물(20g), 토마토(100g),
레디쉬(1개), 어린잎(10g), 저염간장(20g), 식초(10g),
설탕(20g), 겨자가루(10g)."
271,닭고기김치찌개,"재료 닭가슴살(60g), 애호박(30g), 미나리(20g), 청양고추(3g), 두부(60g)
김치(120g), 참기름(20g), 느타리버섯(10g), 달걀(50g)
육수 다시마(5g), 무(40g), 대파(5g), 양파(10g), 마른 고추(3g), 멸치(10g)
마늘(10g), 청주(10g), 물(300g)"
272,완자김치찌개,"재료 콩나물(30g), 김치(50g)
두부(40g), 붉은 고추(15g)
다진 돼지고기(등심, 60g), 새우젓(5g)
육수 대파(10g), 마늘(5g), 쇠고기(50g)"
273,백김치콩비지찌개,"재료 풋고추(10g), 백김치(100g), 콩비지(100g)
양념 참기름(8g), 후춧가루(0.2g), 다진 마늘(10g), 간장(2g)"
274,오징어김치찌개,"재료 오징어(100g), 두부(50g), 팽이버섯(20g), 붉은 고추(4g)
고구마(30g), 콩나물(20g), 김치(140g), 쑥갓(20g)
육수 무(50g), 다시마(5g), 대파(20g), 멸치(10g), 물(300g)
양념 참기름(10g), 들깻가루(5g)"
275,해물김치찌개,"•필수 재료 : 주꾸미(40g), 김치(40g), 무(10g), 마늘(3g), 대파(3g), 양파(10g), 두부(10g), 참기름(3g), 배즙(10g), 팽이버섯(3g)
•육수 재료 : 다시마(5g), 멸치(10g), 물(300g)"
276,맑은부대찌개,"재료 느타리버섯(10g), 두부(50g), 콩나물(10g)
배추(40g), 미나리(20g), 돼지고기(50g)
쇠고기(50g), 불린 당면(10g), 조랭이떡(30g)
다시마육수 다시마(3g), 양파(30g), 대파(20g)
무(30g), 마른 고추(5g)
고기완자양념 생강즙(2g), 다진 파(10g)
다진 마늘(5g), 후춧가루(0.1g), 소금(0.1g"
277,나가사키부대찌개,"재료 통조림 햄(30g), 우유(100g), 실곤약(50g), 양파(30g), 느타리버섯(25g)
표고버섯(10g), 팽이버섯(30g), 청양고추(5g), 붉은 고추(5g), 감자(30g)
무(30g), 두부(40g), 애호박(30g), 깻잎(3g), 쑥갓(10g)
완자 다진 돼지고기(20g), 다진 파(5g), 다진 마늘(5g), 후춧가루(1g)
소금(1g), 밀가루(10g), 달걀노른자(20g)
육수 사골육수(300g), 다시마(5g)
양념 들깻가루(15g)"
278,삼계부대찌개,"재료 닭가슴살(100g), 당근(20g), 붉은 고추(6g)
풋고추(6g), 대파(6g), 쑥갓(4g), 표고버섯(14g)
애호박(60g), 김치(40g), 팽이버섯(40g)
당면(21g), 숙주(40g), 떡(40g)
육수 당귀(10g), 대추(20g), 오가피(30g), 함초(20g)
양념장 겨자가루(5g), 고춧가루(20g), 콩가루(5g), 쌀겨(5g), 다진 마늘(3g)"
279,쑥갓부대찌개,"•필수재료 : 통조림 햄(30g), 애호박(20g), 두부(20g), 팽이버섯(20g), 청양고추(5g), 김치(30g), 쑥갓(4g)
•육수 : 다시마(5g), 물(200g)
•양념장 : 설탕(0.5g), 고춧가루(4g), 다진마늘(2g), 고추장(2g)"
280,들깨순두부찌개,"재료 굴(40g), 멸치(2g), 표고버섯(10g), 느타리버섯(40g), 무(20g)
양파(10g), 미나리(10g), 대파(3g), 붉은 고추(2g), 순두부(100g)
양념 다진 마늘(1g), 들깻가루(10g), 국간장(1.5g), 소금(0.5g)"
281,백태순두부찌개,"재료 콩(백태, 30g), 느타리버섯(10g), 표고버섯(10g), 애호박(20g)
양파(10g), 대파(5g), 붉은 고추(2g), 풋고추(2g), 바지락(30g)
저염된장(10g), 새우(25g), 순두부(120g)
육수 마른 다시마(1g), 멸치(1g), 물(250g)"
282,버섯순두부찌개,"•필수 재료 : 표고버섯(3g), 애호박(10g), 감자(10g), 양파(3g), 미나리(3g), 부추(1g), 대파(1g), 청양고추(1g), 순두부(100g)
•육수 : 다시마(3g), 표고버섯 밑동(3g), 물(250g)
•양념 : 저염된장(5g), 찹쌀가루(3g), 다진마늘(1g), 들깻가루(7g), 저염국간장(1g)"
283,토란순두부찌개,"재료 토란(40g), 표고버섯(20g), 붉은 고추(1g), 청양고추(2g)
백합(150g), 들깻가루(40g), 순두부(150g)"
385,토마토스프파스타,"홀토마토 200g, 토마토 100g, 다진양파 30g, 다진마늘 20g, 먹물파스타 25g, 치즈 25g
파슬리가루 1g, 함초소금 1g, 올리브오일 30g
곁들이 야채 : 양파 20g, 가지 20g, 2가지색 파프리카 20g, 애호박 20g"
386,다이어트국수,"실곤약 200g, 물김치국물 200g, 오이 25g, 달걀 1개(60g)
당근 20g, 양파 50g, 통깨 3g, 레몬즙 15g
탄산수 50ml, 어간장 5g"
387,오징어구이,"오징어 300g, 미니파프리카 40g, 양파 50g, 청고추 15g, 홍고추 15g
양념장 : 다진마늘 15g, 고춧가루 15g, 홀토마토 50g, 고추장 15g, 설탕 15g
올리고당 15g, 후추 1g, 참기름 15g
고명 : 볶은 현미 15g"
388,배숙구이,"배 750g, 후르츠칵테일 150g, 생강청 50g, 방울토마토 60g, 탄산수 200g"
389,웰빙스테이크,"쇠고기등심 240g, 시금치 50g, 마늘 15g, 양파 50g, 건바질 2g
감자 60g, 레몬 25g, 파슬리가루 1g
소스 : 르네디종 홀그레인머스터 15g, 사과 80g, 버터 15g"
390,오징어콩순대,"오징어 1마리(220g), 옥수수 30g, 귀리밥 50g, 강낭콩 20g
당근 20g, 미니파프리카 20g, 피망 20g, 대파 10g, 양파 25g
카레가루 25g, 흰후추 1g, 다진마늘 5g, 참기름 15g, 밀가루 15g, 레몬즙 15g"
391,토마토소고기장조림,"소고기 우둔살 200g, 메추리알 100g, 방울토마토 100g, 마늘 30g, 꽈리고추 50g, 양파 45g
양념장 : 맛간장 30g, 흰후추 1g, 어간장 15g, 설탕 15g"
392,토마토소고기찜,"소고기우둔살 200g, 샐러리 40g, 당근 30g, 양파 50g
화이트와인 25g, 홀토마토 100g, 버터 20g, 레몬 25g, 흰후추 1g, 파슬리가루 2g, 함초소금 1g"
393,맛간장삼치구이,"삼치 200g, 생강 50g, 대파 100g, 통깨 1g, 버터 10g
소스 : 맛간장 30g, 생강청 25g, 커피 1g"
394,삼겹살꼬치구이,"삼겹살 200g, 방울토마토 100g, 마늘기름 15g, 후추 1g, 로즈마리 1g, 통후추 2g
대파 20g, 마늘 10g, 꽈리고추 25g
대파채 : 대파 25g, 고춧가루 1g, 레몬즙 2g"
395,새우아욱죽,"귀리밥 100g, 아욱 30g, 건새우 25g, 칵테일새우 25g, 저염 된장 30g"
396,까르보나라뇨끼,"감자 220g, 깻잎 10g, 베이컨 25g, 백일송이 25g
다진마늘 15g, 다진양파 25g, 다진대파 25g, 흰후추 3g, 버터15g, 우유 200g
생크림 30g, 설탕 10g, 치즈가루 15g"
397,호박죽,"단호박 200g, 찹쌀가루 100g, 브로콜리 50g, 양파 60g, 볶은 현미 25g
버섯마늘소금 2g, 흰후추 1g, 치즈가루 15g"
398,라이스버거떡갈비,"라이스버거 : 밥 200g, 맛간장 15g, 전분가루 15g, 팽이버섯 20g, 흰후추 1g, 달걀 60g
떡갈비 : 다진소고기 50g, 다진돼지고기 50g, 다진양파 30g, 다진쪽파 15g, 맛간장 10g, 후추 1g
토마토겉절이 : 토마토 80g, 미나리 20g, 맛간장 5g, 청고추 15g, 홍고추 15g"
399,고추김치,"•필수재료 : 오이고추(40g), 영양부추(5g), 연근(5g), 무(5g)
•절임물 : 해물육수(8g), 어간장(3g)
•양념 : 고춧가루(3g), 생강청(3g), 통깨(1g)"
500,누룽닭,"닭가슴살(120g), 생강즙(5g), 정종(10g), 시금치(20g)
당근(20g), 양파(20g), 샐러리(20g), 파프리카(20g)
느타리(20g), 주꾸미(30g), 새우(20g), 청경채(20g)
누룽지(50g), 튀김기름(200g), 육수(200g), 저염간장(10g)
녹말가루(10g), 마늘(10g), 소금(0.2g), 후춧가루(0.1g)"
501,광어스테이크,"광어(150g), 소금(0.3g), 후춧가루(0.02g), 밀가루(20g)
달걀(50g), 아몬드(20g), 호두(20g), 올리브오일(20g)
- 소스 : 플레인요거트(50g), 꿀(10g), 레몬즙(20g)"
502,치즈감자크로켓,"감자(150g), 생크림(20g), 당근(20g), 양파(20g), 오이(20g)
소금(0.5g), 모짜렐라치즈(50g), 밀가루(20g), 달걀(50g)
빵가루(50g), 튀김기름(400g)"
503,코코넛밀크카레,"두부(100g), 소금(0.3g), 코코넛밀크(20g), 당근(20g)
양파(20g), 브로컬리(20g), 돼지고기(50g), 감자(20g)
버터(10g), 카레가루(30g), 물(250g)"
504,소고기리조또롤,"쌀(50g), 강황가루(20g), 버터(10g)
마늘(10g), 양파(20g), 새송이(30g), 파프리카(30g)
소고기(150g), 소금(0.1g), 후춧가루(0.02g)
하얀된장(10g), 생크림(20g), 육수(200g)"
505,둥지튀김,"닭고기살(150g), 소금(0.3g), 후춧가루(0.2g), 달걀(50g)
녹말가루(20g), 백년초국수(20g), 뽕잎국수(20g)
치자국수(20g), 튀김기름(400g)
- 소스 : 레몬(10g), 설탕(20g), 연유(10g), 물(50g)
다진 마늘(10g), 생강(5g), 식초(20g), 녹말가루(20g)"
506,새우와스테이크,"새우(60g), 버터(10g), 소고기(120g), 로즈마리(2g)
소금(0.3g), 후춧가루(2g)
- 소스 : 와인(50g), 설탕(20g), 당근(20g), 양파(20g)
토마토(30g), 마늘(20g), 대파(10g), 발사믹소스(20g)
- 곁들임채소 : 아스파라거스(20g), 브로컬리(20g)
새송이(20g), 가지(30g)"
507,함초삼겹,"통삼겹살(150g), 함초가루(10g), 소금(0.5g), 후춧가루(0.2g)
부추(30g), 버터(5g)
- 소스 : 유자청(20g), 쌈장(10g), 설탕(20g), 생크림(20g)
연두부(30g), 양파(20g), 당근(20g)"
508,햄버거스테이크,"다진 돼지고기(60g), 다진 소고기(60g), 다진 마늘(10g)
로즈마리(2g), 빵가루(20g), 후춧가루(0.2g), 파프리카(20g)
- 소스 : 양파(20g), 플레인요거트(20g), 설탕(10g)
매실액(10g), 식초(5g), 녹말가루(10g)
- 곁들임채소 : 어린잎(5g)"
509,유자삼치구이,"삼치(150g), 소금(0.3g), 녹말(20g), 식용유(10g),
- 소스 : 생강(10g), 유자청(50g), 레몬(20g)"
510,냉토마토파스타,"토마토(50g), 브로컬리(20g), 펜네(100g), 올리브오일(10g)
후춧가루(0.1g)
- 소스 : 마늘(10g), 양파(20g), 당근(20g), 방울토마토(50g)
올리브오일(10g), 육수(400g), 설탕(10g)
소금(0.3g), 레몬즙(10g), 월계수잎(1장)"
511,닭고기또띠아,"또띠아(50g), 닭고기살(100g), 느타리버섯(20g), 사과(20g)
오이(20g), 파프리카(20g), 애호박(20g), 양파(20g), 식초(10g)
- 소스 : 아몬드(10g), 우유(20g), 머스터드(20g), 올리고당(20g)"
512,닭고기스테이크,"닭고기살(120g), 소금(0.5g), 후춧가루(0.1g), 생강(5g)
정종(5g), 우유(50g), 오이(20g), 토마토(20g)
두부(80g), 흑임자(20g), 우유(50g)"
513,오징어순대,"통오징어(100g), 양파(20g), 당근(20g), 부추(20g)
견과류(20g), 두부(50g), 대파(10g), 마늘(10g), 소금(0.5g)
녹말가루(10g), 정종(10g), 레몬(10g), 생강(5g)"
514,연어차우더스프,"모시조개(50g), 연어(100g), 청피망(20g), 당근(20g)
양파(20g), 감자(50g), 밀가루(10g), 버터(5g), 육수(200g)
월계수잎(1장), 통후추(3알), 생크림(30g), 통마늘(10g)"
663,시금치브로컬리 파스타,"새우(대하, 3마리), 스파게티(100g), 시금치(30g),
브로콜리(50g), 바질(10g), 생크림(50g), 올리브오일(10g),
소금 (0.2g)"
664,야채찜을 곁들인 광어스테이크,"광어(1마리), 당근(30g), 단호박(30g), 가지(1/2개),
파프리카(50g), 콜리플라워(50g), 레몬(1/4개), 와사비(5g),
발사믹소스(50g), 저염간장(30g), 청주(15g)"
665,연근부각,"연근(60g), 식초(10g), 천일염(0.1g), 계피가루(20g),
식용유(200g)"
666,오이냉국을 곁들인 오색쌈밥,"돼지고기(안심, 100g), 쌀(200g), 도라지(30g), 애호박(1/2개),
양파(30g), 홍고추(1개), 미나리(20g), 오이(50g), 청포묵(20g),
쌈무(20g), 달걀(1개), 라이스페이퍼(5장), 고추장(20g),
소금(0.3g), 참기름(5g), 고춧가루(10g)"
667,카레탄두리치킨과 닭가슴살냉채,"닭고기(1마리), 오곡(50g), 인삼(1뿌리), 대추(3알),
아스파라거스(3개), 당근(20g), 양파(30g), 오이(50g),
파프리카(50g), 카레가루(20g), 디종머스터드(30g)"
668,컬리플라워소스 광어스테이크,"광어(1마리), 콜리플라워(50g), 감자(30g), 양파(20g),
시금치(20g), 가지(1/2개), 단호박(1/4개), 당근(30g),
우유(200g), 소금(0.2g), 후춧가루(0.01g)"
669,콜라비오미자 물김치,"콜라비(1/2개), 오미자(20g), 무화과(20g), 파프리카(50g),
피망(30g), 쪽파(10g), 양파(30g), 건새우(10g), 다시마(10g),
소금(0.3g)"
670,크림소스치킨롤,"닭고기(가슴살, 150g), 새우(대하, 3마리), 베이컨(20g),
마늘(20g), 바질(5g), 아스파라거스(3개), 새송이버섯(1개),
치즈(1장), 버터(10g), 소금(0.2g), 후춧가루(0.01g)"
671,표고버섯 감자찜,"표고버섯(3개), 감자(200g), 고수(10g), 당근(30g), 양파(30g),
홍고추(1개), 녹말(20g)"
672,해물애호박 전병말이,"새우(3마리), 오징어(50g), 애호박(1/2개), 당근(20g),
깻잎(3장), 대추(2알), 밀가루(100g), 찹쌀가루(50g),
저염간장(20g), 식초(10g), 설탕(10g), 소금(0.2g)"
673,찬밥이용닭죽,"찬밥 60g, 닭다리살 80g, 감자 30g, 통마늘 15g, 양파 10g, 당근 8g, 부추 5g, 물 700g, 소금 0.75g, 후춧가루 0.3g"
674,감자느타리버섯국,"감자 30g, 느타리버섯 15g, 두부 8g, 파 5g, 물 300g, 국멸치 5g, 홍고추 3g, 건다시마 3g, 다진 마늘 3g, 소금 0.5g"
677,민어매운탕,"- 주재료 : 민어 50g, 쇠고기 양지15g, 다진 마늘 1.25g, 후추 0.25g, 참기름 0.5g, 무 40g, 애호박 20g, 애느타리버섯 20g, 풋 고추 5g, 홍고추 2.5g, 쑥갓 10g, 대파 5g, 생강즙 0.5g, 물 300g, 소금 0.5g - 양념장 : 간 홍고추 10g, 간 양파 10g, 다진 마늘 2g, 국간장 2.5g, 간장 2.5g, 맛술 5g, 굵은 고춧가루 5g, 고운 고춧가루 1.25g"
297,아몬드치킨볼,"재료 양송이버섯(5g), 버터(10g), 닭다리살(30g), 닭가슴살(50g), 아몬드(5g)
밀가루(10g), 우유(50g), 들깻가루(30g), 브로콜리(15g), 마늘(10g)
육수 닭뼈(90g), 양파(10g), 양송이버섯 밑동(5g), 마늘(5g)"
298,양배추롤,"재료 현미(50g), 멥쌀(50g), 다시마(2g), 새우가루(15g), 양배추(50g)
얇게 썬 쇠고기(부채살, 80g), 송송 썬 붉은 고추(5g)
달래무침 달래(10g), 간장(10g), 참기름(5g)"
299,생선베이컨말이,"재료 피망(5g), 파프리카(10g), 시금치(15g), 저염베이컨(60g)
동태포(30g), 저염버터(10g), 생크림(10g), 새싹채소(0.1g)"
300,콩고기샐러드,"재료 콩고기(30g), 아보카도(10g), 바나나(10g), 가지(10g)
연근(10g), 방울토마토(10g), 만두피(20g)
저염간장양념 저염간장(2.5g), 물(25g), 설탕(3g)
허브오일드레싱 저염소금(1g), 식초(5g), 로즈마리(1g), 통후추(1g)
올리브유(15g), 꿀(5g)"
301,퀴노아닭가슴살샐러드,"재료 수박껍질(17g), 토마토(17g), 닭가슴살(80g), 감자(27g), 가지(17g)
양파(17g), 피망(34g), 아스파라거스(30g), 퀴노아(8g), 리코타치즈(5g)
양상추(9g), 플레인 요구르트(25g), 어린잎채소(1g)
복분자소스 복분자(50g), 레몬즙(10g)"
